0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
infinitive,V;NFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
present participle,V.PTCP;PRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
past participle,V.PTCP;PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auxiliary,האָבןhobn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
present,V;FIN;PRES;1;SG,V;FIN;PRES;1;PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו פּאַטשקעסטdu patshkest,V;FIN;PRES;2;PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער פּאַטשקעטer patshket,V;FIN;PRES;3;PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperative,V;FIN;IMP;2;SG,V;FIN;IMP;2;PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Composed forms  past  איך האָב געפּאַטשקעטikh hob gepatshket  מיר האָבן געפּאַטשקעטmir hobn gepatshket  דו האָסט געפּאַטשקעטdu host gepatshket  איר האָט געפּאַטשקעטir hot gepatshket  ער האָט געפּאַטשקעטer hot gepatshket  זיי האָבן געפּאַטשקעטzey hobn gepatshket  pluperfect  איך האָב געהאַט געפּאַטשקעטikh hob gehat gepatshket  מיר האָבן געהאַט געפּאַטשקעטmir hobn gehat gepatshket  דו האָסט געהאַט געפּאַטשקעטdu host gehat gepatshket  איר האָט געהאַט געפּאַטשקעטir hot gehat gepatshket  ער האָט געהאַט געפּאַטשקעטer hot gehat gepatshket  זיי האָבן געהאַט געפּאַטשקעטzey hobn gehat gepatshket  future  איך וועל פּאַטשקעןikh vel patshken  מיר וועלן פּאַטשקעןmir veln patshken  דו וועסט פּאַטשקעןdu vest patshken  איר וועט פּאַטשקעןir vet patshken  ער וועט פּאַטשקעןer vet patshken  זיי וועלן פּאַטשקעןzey veln patshken  future perfect  איך וועל האָבן געפּאַטשקעטikh vel hobn gepatshket  מיר וועלן האָבן געפּאַטשקעטmir veln hobn gepatshket  דו וועסט האָבן געפּאַטשקעטdu vest hobn gepatshket  איר וועט האָבן געפּאַטשקעטir vet hobn gepatshket  ער וועט האָבן געפּאַטשקעטer vet hobn gepatshket  זיי וועלן האָבן געפּאַטשקעטzey veln hobn gepatshket,past,איך האָב געפּאַטשקעטikh hob gepatshket,מיר האָבן געפּאַטשקעטmir hobn gepatshket,דו האָסט געפּאַטשקעטdu host gepatshket,איר האָט געפּאַטשקעטir hot gepatshket,ער האָט געפּאַטשקעטer hot gepatshket,זיי האָבן געפּאַטשקעטzey hobn gepatshket,,pluperfect,איך האָב געהאַט געפּאַטשקעטikh hob gehat gepatshket,מיר האָבן געהאַט געפּאַטשקעטmir hobn gehat gepatshket,דו האָסט געהאַט געפּאַטשקעטdu host gehat gepatshket,איר האָט געהאַט געפּאַטשקעטir hot gehat gepatshket,ער האָט געהאַט געפּאַטשקעטer hot gehat gepatshket,זיי האָבן געהאַט געפּאַטשקעטzey hobn gehat gepatshket,,future,איך וועל פּאַטשקעןikh vel patshken,מיר וועלן פּאַטשקעןmir veln patshken,דו וועסט פּאַטשקעןdu vest patshken,איר וועט פּאַטשקעןir vet patshken,ער וועט פּאַטשקעןer vet patshken,זיי וועלן פּאַטשקעןzey veln patshken,,future perfect,איך וועל האָבן געפּאַטשקעטikh vel hobn gepatshket,מיר וועלן האָבן געפּאַטשקעטmir veln hobn gepatshket,דו וועסט האָבן געפּאַטשקעטdu vest hobn gepatshket,איר וועט האָבן געפּאַטשקעטir vet hobn gepatshket,ער וועט האָבן געפּאַטשקעטer vet hobn gepatshket,זיי וועלן האָבן געפּאַטשקעטzey veln hobn gepatshket
past,איך האָב געפּאַטשקעטikh hob gepatshket,מיר האָבן געפּאַטשקעטmir hobn gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו האָסט געפּאַטשקעטdu host gepatshket,איר האָט געפּאַטשקעטir hot gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער האָט געפּאַטשקעטer hot gepatshket,זיי האָבן געפּאַטשקעטzey hobn gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pluperfect,איך האָב געהאַט געפּאַטשקעטikh hob gehat gepatshket,מיר האָבן געהאַט געפּאַטשקעטmir hobn gehat gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו האָסט געהאַט געפּאַטשקעטdu host gehat gepatshket,איר האָט געהאַט געפּאַטשקעטir hot gehat gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער האָט געהאַט געפּאַטשקעטer hot gehat gepatshket,זיי האָבן געהאַט געפּאַטשקעטzey hobn gehat gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
future,איך וועל פּאַטשקעןikh vel patshken,מיר וועלן פּאַטשקעןmir veln patshken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו וועסט פּאַטשקעןdu vest patshken,איר וועט פּאַטשקעןir vet patshken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער וועט פּאַטשקעןer vet patshken,זיי וועלן פּאַטשקעןzey veln patshken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
future perfect,איך וועל האָבן געפּאַטשקעטikh vel hobn gepatshket,מיר וועלן האָבן געפּאַטשקעטmir veln hobn gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו וועסט האָבן געפּאַטשקעטdu vest hobn gepatshket,איר וועט האָבן געפּאַטשקעטir vet hobn gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער וועט האָבן געפּאַטשקעטer vet hobn gepatshket,זיי וועלן האָבן געפּאַטשקעטzey veln hobn gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
past,איך האָב געפּאַטשקעטikh hob gepatshket,מיר האָבן געפּאַטשקעטmir hobn gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו האָסט געפּאַטשקעטdu host gepatshket,איר האָט געפּאַטשקעטir hot gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
