0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
pluperfect,איך האָב געהאַט געשפּריצטikh hob gehat geshpritst,מיר האָבן געהאַט געשפּריצטmir hobn gehat geshpritst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו האָסט געהאַט געשפּריצטdu host gehat geshpritst,איר האָט געהאַט געשפּריצטir hot gehat geshpritst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער האָט געהאַט געשפּריצטer hot gehat geshpritst,זיי האָבן געהאַט געשפּריצטzey hobn gehat geshpritst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
future,איך וועל שפּריצןikh vel shpritsn,מיר וועלן שפּריצןmir veln shpritsn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו וועסט שפּריצןdu vest shpritsn,איר וועט שפּריצןir vet shpritsn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער וועט שפּריצןer vet shpritsn,זיי וועלן שפּריצןzey veln shpritsn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
future perfect,איך וועל האָבן געשפּריצטikh vel hobn geshpritst,מיר וועלן האָבן געשפּריצטmir veln hobn geshpritst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו וועסט האָבן געשפּריצטdu vest hobn geshpritst,איר וועט האָבן געשפּריצטir vet hobn geshpritst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער וועט האָבן געשפּריצטer vet hobn geshpritst,זיי וועלן האָבן געשפּריצטzey veln hobn geshpritst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
