0,1,2,3,4,5,6,7,8,9
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,حَفَفْتُḥafaftu,حَفَفْتَḥafafta,حَفَّḥaffa,حَفَفْتُمَاḥafaftumā,حَفَّاḥaffā,حَفَفْنَاḥafafnā,حَفَفْتُمْḥafaftum,حَفُّواḥaffū
f,حَفَفْتِḥafafti,حَفَّتْḥaffat,حَفَّتَاḥaffatā,حَفَفْتُنَّḥafaftunna,حَفَفْنَḥafafna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أَحِفُّʾaḥiffu,تَحِفُّtaḥiffu,يَحِفُّyaḥiffu,تَحِفَّانِtaḥiffāni,يَحِفَّانِyaḥiffāni,نَحِفُّnaḥiffu,تَحِفُّونَtaḥiffūna,يَحِفُّونَyaḥiffūna
f,تَحِفِّينَtaḥiffīna,تَحِفُّtaḥiffu,تَحِفَّانِtaḥiffāni,تَحْفِفْنَtaḥfifna,يَحْفِفْنَyaḥfifna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أَحِفَّʾaḥiffa,تَحِفَّtaḥiffa,يَحِفَّyaḥiffa,تَحِفَّاtaḥiffā,يَحِفَّاyaḥiffā,نَحِفَّnaḥiffa,تَحِفُّوtaḥiffū,يَحِفُّوyaḥiffū
f,تَحِفِّيtaḥiffī,تَحِفَّtaḥiffa,تَحِفَّاtaḥiffā,تَحْفِفْنَtaḥfifna,يَحْفِفْنَyaḥfifna,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,أَحِفَّ or أَحِفِّ or أَحْفِفْʾaḥiffa or ʾaḥiffi or ʾaḥfif,تَحِفَّ or تَحِفِّ or تَحْفِفْtaḥiffa or taḥiffi or taḥfif,يَحِفَّ or يَحِفِّ or يَحْفِفْyaḥiffa or yaḥiffi or yaḥfif,تَحِفَّاtaḥiffā,يَحِفَّاyaḥiffā,نَحِفَّ or نَحِفِّ or نَحْفِفْnaḥiffa or naḥiffi or naḥfif,تَحِفُّوtaḥiffū,يَحِفُّوyaḥiffū
f,تَحِفِّيtaḥiffī,تَحِفَّ or تَحِفِّ or تَحْفِفْtaḥiffa or taḥiffi or taḥfif,تَحِفَّاtaḥiffā,تَحْفِفْنَtaḥfifna,يَحْفِفْنَyaḥfifna,,,,
imperativeالْأَمْر,m,,حِفَّ or حِفِّ or اِحْفِفْḥiffa or ḥiffi or iḥfif,,حِفَّاḥiffā,,,حِفُّوḥiffū,
f,حِفِّيḥiffī,اِحْفِفْنَiḥfifna,,,,,,,
passive voiceالْفِعْل الْمَجْهُول,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,حُفِفْتُḥufiftu,حُفِفْتَḥufifta,حُفَّḥuffa,حُفِفْتُمَاḥufiftumā,حُفَّاḥuffā,حُفِفْنَاḥufifnā,حُفِفْتُمْḥufiftum,حُفُّواḥuffū
f,حُفِفْتِḥufifti,حُفَّتْḥuffat,حُفَّتَاḥuffatā,حُفِفْتُنَّḥufiftunna,حُفِفْنَḥufifna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أُحَفُّʾuḥaffu,تُحَفُّtuḥaffu,يُحَفُّyuḥaffu,تُحَفَّانِtuḥaffāni,يُحَفَّانِyuḥaffāni,نُحَفُّnuḥaffu,تُحَفُّونَtuḥaffūna,يُحَفُّونَyuḥaffūna
f,تُحَفِّينَtuḥaffīna,تُحَفُّtuḥaffu,تُحَفَّانِtuḥaffāni,تُحْفَفْنَtuḥfafna,يُحْفَفْنَyuḥfafna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أُحَفَّʾuḥaffa,تُحَفَّtuḥaffa,يُحَفَّyuḥaffa,تُحَفَّاtuḥaffā,يُحَفَّاyuḥaffā,نُحَفَّnuḥaffa,تُحَفُّوtuḥaffū,يُحَفُّوyuḥaffū
f,تُحَفِّيtuḥaffī,تُحَفَّtuḥaffa,تُحَفَّاtuḥaffā,تُحْفَفْنَtuḥfafna,يُحْفَفْنَyuḥfafna,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,أُحَفَّ or أُحَفِّ or أُحْفَفْʾuḥaffa or ʾuḥaffi or ʾuḥfaf,تُحَفَّ or تُحَفِّ or تُحْفَفْtuḥaffa or tuḥaffi or tuḥfaf,يُحَفَّ or يُحَفِّ or يُحْفَفْyuḥaffa or yuḥaffi or yuḥfaf,تُحَفَّاtuḥaffā,يُحَفَّاyuḥaffā,نُحَفَّ or نُحَفِّ or نُحْفَفْnuḥaffa or nuḥaffi or nuḥfaf,تُحَفُّوtuḥaffū,يُحَفُّوyuḥaffū
f,تُحَفِّيtuḥaffī,تُحَفَّ or تُحَفِّ or تُحْفَفْtuḥaffa or tuḥaffi or tuḥfaf,تُحَفَّاtuḥaffā,تُحْفَفْنَtuḥfafna,يُحْفَفْنَyuḥfafna,,,,
verbal nounالْمَصْدَر,حَفّḥaff,,,,,,,,
active participleاِسْم الْفَاعِل,حَافّḥāff,,,,,,,,
passive participleاِسْم الْامَفْعُول,مَحْفُوفmaḥfūf,,,,,,,,
active voiceالْفِعْل الْمَعْلُوم,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,حَفَفْتُḥafaftu,حَفَفْتَḥafafta,حَفَّḥaffa,حَفَفْتُمَاḥafaftumā,حَفَّاḥaffā,حَفَفْنَاḥafafnā,حَفَفْتُمْḥafaftum,حَفُّواḥaffū
f,حَفَفْتِḥafafti,حَفَّتْḥaffat,حَفَّتَاḥaffatā,حَفَفْتُنَّḥafaftunna,حَفَفْنَḥafafna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أَحُفُّʾaḥuffu,تَحُفُّtaḥuffu,يَحُفُّyaḥuffu,تَحُفَّانِtaḥuffāni,يَحُفَّانِyaḥuffāni,نَحُفُّnaḥuffu,تَحُفُّونَtaḥuffūna,يَحُفُّونَyaḥuffūna
f,تَحُفِّينَtaḥuffīna,تَحُفُّtaḥuffu,تَحُفَّانِtaḥuffāni,تَحْفُفْنَtaḥfufna,يَحْفُفْنَyaḥfufna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أَحُفَّʾaḥuffa,تَحُفَّtaḥuffa,يَحُفَّyaḥuffa,تَحُفَّاtaḥuffā,يَحُفَّاyaḥuffā,نَحُفَّnaḥuffa,تَحُفُّوtaḥuffū,يَحُفُّوyaḥuffū
f,تَحُفِّيtaḥuffī,تَحُفَّtaḥuffa,تَحُفَّاtaḥuffā,تَحْفُفْنَtaḥfufna,يَحْفُفْنَyaḥfufna,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,أَحُفَّ or أَحُفِّ or أَحْفُفْʾaḥuffa or ʾaḥuffi or ʾaḥfuf,تَحُفَّ or تَحُفِّ or تَحْفُفْtaḥuffa or taḥuffi or taḥfuf,يَحُفَّ or يَحُفِّ or يَحْفُفْyaḥuffa or yaḥuffi or yaḥfuf,تَحُفَّاtaḥuffā,يَحُفَّاyaḥuffā,نَحُفَّ or نَحُفِّ or نَحْفُفْnaḥuffa or naḥuffi or naḥfuf,تَحُفُّوtaḥuffū,يَحُفُّوyaḥuffū
f,تَحُفِّيtaḥuffī,تَحُفَّ or تَحُفِّ or تَحْفُفْtaḥuffa or taḥuffi or taḥfuf,تَحُفَّاtaḥuffā,تَحْفُفْنَtaḥfufna,يَحْفُفْنَyaḥfufna,,,,
imperativeالْأَمْر,m,,حُفَّ or حُفِّ or اُحْفُفْḥuffa or ḥuffi or uḥfuf,,حُفَّاḥuffā,,,حُفُّوḥuffū,
f,حُفِّيḥuffī,اُحْفُفْنَuḥfufna,,,,,,,
passive voiceالْفِعْل الْمَجْهُول,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,حُفِفْتُḥufiftu,حُفِفْتَḥufifta,حُفَّḥuffa,حُفِفْتُمَاḥufiftumā,حُفَّاḥuffā,حُفِفْنَاḥufifnā,حُفِفْتُمْḥufiftum,حُفُّواḥuffū
f,حُفِفْتِḥufifti,حُفَّتْḥuffat,حُفَّتَاḥuffatā,حُفِفْتُنَّḥufiftunna,حُفِفْنَḥufifna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أُحَفُّʾuḥaffu,تُحَفُّtuḥaffu,يُحَفُّyuḥaffu,تُحَفَّانِtuḥaffāni,يُحَفَّانِyuḥaffāni,نُحَفُّnuḥaffu,تُحَفُّونَtuḥaffūna,يُحَفُّونَyuḥaffūna
f,تُحَفِّينَtuḥaffīna,تُحَفُّtuḥaffu,تُحَفَّانِtuḥaffāni,تُحْفَفْنَtuḥfafna,يُحْفَفْنَyuḥfafna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أُحَفَّʾuḥaffa,تُحَفَّtuḥaffa,يُحَفَّyuḥaffa,تُحَفَّاtuḥaffā,يُحَفَّاyuḥaffā,نُحَفَّnuḥaffa,تُحَفُّوtuḥaffū,يُحَفُّوyuḥaffū
f,تُحَفِّيtuḥaffī,تُحَفَّtuḥaffa,تُحَفَّاtuḥaffā,تُحْفَفْنَtuḥfafna,يُحْفَفْنَyuḥfafna,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,أُحَفَّ or أُحَفِّ or أُحْفَفْʾuḥaffa or ʾuḥaffi or ʾuḥfaf,تُحَفَّ or تُحَفِّ or تُحْفَفْtuḥaffa or tuḥaffi or tuḥfaf,يُحَفَّ or يُحَفِّ or يُحْفَفْyuḥaffa or yuḥaffi or yuḥfaf,تُحَفَّاtuḥaffā,يُحَفَّاyuḥaffā,نُحَفَّ or نُحَفِّ or نُحْفَفْnuḥaffa or nuḥaffi or nuḥfaf,تُحَفُّوtuḥaffū,يُحَفُّوyuḥaffū
f,تُحَفِّيtuḥaffī,تُحَفَّ or تُحَفِّ or تُحْفَفْtuḥaffa or tuḥaffi or tuḥfaf,تُحَفَّاtuḥaffā,تُحْفَفْنَtuḥfafna,يُحْفَفْنَyuḥfafna,,,,
verbal nounالْمَصْدَر,حُفُوفḥufūf,,,,,,,,
active participleاِسْم الْفَاعِل,حَافّḥāff,,,,,,,,
passive participleاِسْم الْامَفْعُول,مَحْفُوفmaḥfūf,,,,,,,,
active voiceالْفِعْل الْمَعْلُوم,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,حَفَفْتُḥafaftu,حَفَفْتَḥafafta,حَفَّḥaffa,حَفَفْتُمَاḥafaftumā,حَفَّاḥaffā,حَفَفْنَاḥafafnā,حَفَفْتُمْḥafaftum,حَفُّواḥaffū
f,حَفَفْتِḥafafti,حَفَّتْḥaffat,حَفَّتَاḥaffatā,حَفَفْتُنَّḥafaftunna,حَفَفْنَḥafafna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أَحِفُّʾaḥiffu,تَحِفُّtaḥiffu,يَحِفُّyaḥiffu,تَحِفَّانِtaḥiffāni,يَحِفَّانِyaḥiffāni,نَحِفُّnaḥiffu,تَحِفُّونَtaḥiffūna,يَحِفُّونَyaḥiffūna
f,تَحِفِّينَtaḥiffīna,تَحِفُّtaḥiffu,تَحِفَّانِtaḥiffāni,تَحْفِفْنَtaḥfifna,يَحْفِفْنَyaḥfifna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أَحِفَّʾaḥiffa,تَحِفَّtaḥiffa,يَحِفَّyaḥiffa,تَحِفَّاtaḥiffā,يَحِفَّاyaḥiffā,نَحِفَّnaḥiffa,تَحِفُّوtaḥiffū,يَحِفُّوyaḥiffū
f,تَحِفِّيtaḥiffī,تَحِفَّtaḥiffa,تَحِفَّاtaḥiffā,تَحْفِفْنَtaḥfifna,يَحْفِفْنَyaḥfifna,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,أَحِفَّ or أَحِفِّ or أَحْفِفْʾaḥiffa or ʾaḥiffi or ʾaḥfif,تَحِفَّ or تَحِفِّ or تَحْفِفْtaḥiffa or taḥiffi or taḥfif,يَحِفَّ or يَحِفِّ or يَحْفِفْyaḥiffa or yaḥiffi or yaḥfif,تَحِفَّاtaḥiffā,يَحِفَّاyaḥiffā,نَحِفَّ or نَحِفِّ or نَحْفِفْnaḥiffa or naḥiffi or naḥfif,تَحِفُّوtaḥiffū,يَحِفُّوyaḥiffū
f,تَحِفِّيtaḥiffī,تَحِفَّ or تَحِفِّ or تَحْفِفْtaḥiffa or taḥiffi or taḥfif,تَحِفَّاtaḥiffā,تَحْفِفْنَtaḥfifna,يَحْفِفْنَyaḥfifna,,,,
imperativeالْأَمْر,m,,حِفَّ or حِفِّ or اِحْفِفْḥiffa or ḥiffi or iḥfif,,حِفَّاḥiffā,,,حِفُّوḥiffū,
f,حِفِّيḥiffī,اِحْفِفْنَiḥfifna,,,,,,,
passive voiceالْفِعْل الْمَجْهُول,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,—,—,حُفَّḥuffa,—,—,—,—,—
f,—,—,—,—,—,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,—,—,يُحَفُّyuḥaffu,—,—,—,—,—
f,—,—,—,—,—,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,—,—,يُحَفَّyuḥaffa,—,—,—,—,—
f,—,—,—,—,—,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,—,—,يُحَفَّ or يُحَفِّ or يُحْفَفْyuḥaffa or yuḥaffi or yuḥfaf,—,—,—,—,—
f,—,—,—,—,—,,,,
verbal nounالْمَصْدَر,حَفِيفḥafīf,,,,,,,,
active participleاِسْم الْفَاعِل,حَافّḥāff,,,,,,,,
passive participleاِسْم الْامَفْعُول,مَحْفُوفmaḥfūf,,,,,,,,
active voiceالْفِعْل الْمَعْلُوم,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,حَفَفْتُḥafaftu,حَفَفْتَḥafafta,حَفَّḥaffa,حَفَفْتُمَاḥafaftumā,حَفَّاḥaffā,حَفَفْنَاḥafafnā,حَفَفْتُمْḥafaftum,حَفُّواḥaffū
f,حَفَفْتِḥafafti,حَفَّتْḥaffat,حَفَّتَاḥaffatā,حَفَفْتُنَّḥafaftunna,حَفَفْنَḥafafna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أَحِفُّʾaḥiffu,تَحِفُّtaḥiffu,يَحِفُّyaḥiffu,تَحِفَّانِtaḥiffāni,يَحِفَّانِyaḥiffāni,نَحِفُّnaḥiffu,تَحِفُّونَtaḥiffūna,يَحِفُّونَyaḥiffūna
f,تَحِفِّينَtaḥiffīna,تَحِفُّtaḥiffu,تَحِفَّانِtaḥiffāni,تَحْفِفْنَtaḥfifna,يَحْفِفْنَyaḥfifna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أَحِفَّʾaḥiffa,تَحِفَّtaḥiffa,يَحِفَّyaḥiffa,تَحِفَّاtaḥiffā,يَحِفَّاyaḥiffā,نَحِفَّnaḥiffa,تَحِفُّوtaḥiffū,يَحِفُّوyaḥiffū
f,تَحِفِّيtaḥiffī,تَحِفَّtaḥiffa,تَحِفَّاtaḥiffā,تَحْفِفْنَtaḥfifna,يَحْفِفْنَyaḥfifna,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,أَحِفَّ or أَحِفِّ or أَحْفِفْʾaḥiffa or ʾaḥiffi or ʾaḥfif,تَحِفَّ or تَحِفِّ or تَحْفِفْtaḥiffa or taḥiffi or taḥfif,يَحِفَّ or يَحِفِّ or يَحْفِفْyaḥiffa or yaḥiffi or yaḥfif,تَحِفَّاtaḥiffā,يَحِفَّاyaḥiffā,نَحِفَّ or نَحِفِّ or نَحْفِفْnaḥiffa or naḥiffi or naḥfif,تَحِفُّوtaḥiffū,يَحِفُّوyaḥiffū
f,تَحِفِّيtaḥiffī,تَحِفَّ or تَحِفِّ or تَحْفِفْtaḥiffa or taḥiffi or taḥfif,تَحِفَّاtaḥiffā,تَحْفِفْنَtaḥfifna,يَحْفِفْنَyaḥfifna,,,,
imperativeالْأَمْر,m,,حِفَّ or حِفِّ or اِحْفِفْḥiffa or ḥiffi or iḥfif,,حِفَّاḥiffā,,,حِفُّوḥiffū,
f,حِفِّيḥiffī,اِحْفِفْنَiḥfifna,,,,,,,
passive voiceالْفِعْل الْمَجْهُول,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,—,—,حُفَّḥuffa,—,—,—,—,—
f,—,—,—,—,—,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,—,—,يُحَفُّyuḥaffu,—,—,—,—,—
f,—,—,—,—,—,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,—,—,يُحَفَّyuḥaffa,—,—,—,—,—
f,—,—,—,—,—,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,—,—,يُحَفَّ or يُحَفِّ or يُحْفَفْyuḥaffa or yuḥaffi or yuḥfaf,—,—,—,—,—
f,—,—,—,—,—,,,,
Singular,basic singular triptote,,,,,,,,
Indefinite,Definite,Construct,,,,,,,
Informal,حَفّḥaff,الْحَفّal-ḥaff,حَفّḥaff,,,,,,
Nominative,حَفٌّḥaffun,الْحَفُّal-ḥaffu,حَفُّḥaffu,,,,,,
Accusative,حَفًّاḥaffan,الْحَفَّal-ḥaffa,حَفَّḥaffa,,,,,,
Genitive,حَفٍّḥaffin,الْحَفِّal-ḥaffi,حَفِّḥaffi,,,,,,
