0,1,2,3,4,5,6,7
infinitive,V;NFIN;ACT,participle,V.PTCP;ACT,,,,
causative,V;FIN;CAUS;ACT,aorist stem,ցնծաց- ‎(cʿncacʿ-),,,,
person,singular,plural,,,,,
1st person,2nd person,3rd person,1st person,2nd person,3rd person,,
indicative,,ես,դու,նա,մեք,դուք,նոքա
present,V;FIN;IND;PRS;ACT;1;SG,V;FIN;IND;PRS;ACT;2;SG,V;FIN;IND;PRS;ACT;3;SG,V;FIN;IND;PRS;ACT;1;PL,V;FIN;IND;PRS;ACT;2;PL,V;FIN;IND;PRS;ACT;3;PL,
imperfect,V;FIN;IND;PST;IPFV;ACT;1;SG,V;FIN;IND;PST;IPFV;ACT;2;SG,V;FIN;IND;PST;IPFV;ACT;3;SG,V;FIN;IND;PST;IPFV;ACT;1;PL,V;FIN;IND;PST;IPFV;ACT;2;PL,V;FIN;IND;PST;IPFV;ACT;3;PL,
aorist,V;FIN;IND;PST;PFV;ACT;1;SG,V;FIN;IND;PST;PFV;ACT;2;SG,V;FIN;IND;PST;PFV;ACT;3;SG,V;FIN;IND;PST;PFV;ACT;1;PL,V;FIN;IND;PST;PFV;ACT;2;PL,V;FIN;IND;PST;PFV;ACT;3;PL,
subjunctive,,ես,դու,նա,մեք,դուք,նոքա
present,V;FIN;SBJV;PRS;ACT;1;SG,V;FIN;SBJV;PRS;ACT;2;SG,V;FIN;SBJV;PRS;ACT;3;SG,V;FIN;SBJV;PRS;ACT;1;PL,V;FIN;SBJV;PRS;ACT;2;PL,V;FIN;SBJV;PRS;ACT;3;PL,
aorist,V;FIN;SBJV;PST;PFV;ACT;1;SG,V;FIN;SBJV;PST;PFV;ACT;2;SG,V;FIN;SBJV;PST;PFV;ACT;3;SG,V;FIN;SBJV;PST;PFV;ACT;1;PL,V;FIN;SBJV;PST;PFV;ACT;2;PL,V;FIN;SBJV;PST;PFV;ACT;3;PL,
imperatives,,—,(դու),—,—,(դուք),—
imperative,—,V;FIN;IMP;POS;ACT;2;SG,—,—,V;FIN;IMP;POS;ACT;2;PL,—,
cohortative,—,V;FIN;OPT;POS;ACT;2;SG,—,—,V;FIN;OPT;POS;ACT;2;PL,—,
prohibitive,—,V;FIN;IMP;NEG;ACT;2;SG,—,—,V;FIN;IMP;NEG;ACT;2;PL,—,
infinitive,V;NFIN;MID+PASS,participle,V.PTCP;MID+PASS,,,,
causative,V;FIN;MID+PASS;CAUS,aorist stem,ցնծաց- ‎(cʿncacʿ-),,,,
person,singular,plural,,,,,
1st person,2nd person,3rd person,1st person,2nd person,3rd person,,
indicative,,ես,դու,նա,մեք,դուք,նոքա
present,V;FIN;IND;PRS;MID+PASS;1;SG,V;FIN;IND;PRS;MID+PASS;2;SG,V;FIN;IND;PRS;3;SG,V;FIN;IND;PRS;MID+PASS;1;PL,V;FIN;IND;PRS;MID+PASS;2;PL,V;FIN;IND;PRS;MID+PASS;3;PL,
imperfect,V;FIN;IND;PST;MID+PASS;IPFV;1;SG,V;FIN;IND;PST;MID+PASS;IPFV;2;SG,V;FIN;IND;PST;MID+PASS;IPFV;3;SG,V;FIN;IND;PST;MID+PASS;IPFV;1;PL,V;FIN;IND;PST;MID+PASS;IPFV;2;PL,V;FIN;IND;PST;MID+PASS;IPFV;3;PL,
aorist,V;FIN;IND;PST;MID+PASS;PFV;1;SG,V;FIN;IND;PST;MID+PASS;PFV;2;SG,V;FIN;IND;PST;MID+PASS;PFV;3;SG,V;FIN;IND;PST;MID+PASS;PFV;1;PL,V;FIN;IND;PST;MID+PASS;PFV;2;PL,V;FIN;IND;PST;MID+PASS;PFV;3;PL,
subjunctive,,ես,դու,նա,մեք,դուք,նոքա
present,V;FIN;SBJV;PRS;MID+PASS;1;SG,V;FIN;SBJV;PRS;MID+PASS;2;SG,V;FIN;SBJV;PRS;3;SG,V;FIN;SBJV;PRS;MID+PASS;1;PL,V;FIN;SBJV;PRS;MID+PASS;2;PL,V;FIN;SBJV;PRS;MID+PASS;3;PL,
aorist,V;FIN;SBJV;PST;MID+PASS;PFV;1;SG,V;FIN;SBJV;PST;MID+PASS;PFV;2;SG,V;FIN;SBJV;PST;MID+PASS;PFV;3;SG,V;FIN;SBJV;PST;MID+PASS;PFV;1;PL,V;FIN;SBJV;PST;MID+PASS;PFV;2;PL,V;FIN;SBJV;PST;MID+PASS;PFV;3;PL,
imperatives,,—,(դու),—,—,(դուք),—
imperative,—,V;FIN;IMP;POS;MID+PASS;2;SG,—,—,V;FIN;IMP;POS;MID+PASS;2;PL,—,
cohortative,—,V;FIN;OPT;POS;MID+PASS;2;SG,—,—,V;FIN;OPT;POS;MID+PASS;2;PL,—,
prohibitive,—,V;FIN;IMP;NEG;MID+PASS;2;SG,—,—,V;FIN;IMP;NEG;MID+PASS;2;PL,—,
ցնծալի ‎(cʿncali)  ցնծալից ‎(cʿncalicʿ)  ցնծատեսակ ‎(cʿncatesak),,ցնծացած ‎(cʿncacʿac)  ցնծացուցանեմ ‎(cʿncacʿucʿanem)  ցնծացուցիչ ‎(cʿncacʿucʿičʿ),,ցնծաւէտութիւն ‎(cʿncawētutʿiwn)  ցնծութիւն ‎(cʿncutʿiwn)  ցնծումն ‎(cʿncumn),,,
