0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms Case Singular Plural  Nominative  gleo  gleonna  Vocative  a ghleo  a ghleonna  Genitive  gleo  gleonna  Dative  gleo  gleonna,Case,Singular,Plural,Nominative,gleo,gleonna,Vocative,a ghleo,a ghleonna,Genitive,gleo,gleonna,Dative,gleo,gleonna,Forms with the definite article Case Singular Plural  Nominative  an gleo  na gleonna  Genitive  an ghleo  na ngleonna  Dative  leis an ngleo don ghleo  leis na gleonna,Case,Singular,Plural,Nominative,an gleo,na gleonna,Genitive,an ghleo,na ngleonna,Dative,leis an ngleo don ghleo,leis na gleonna
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,gleo,gleonna,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghleo,a ghleonna,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,gleo,gleonna,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,gleo,gleonna,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an gleo,na gleonna,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an ghleo,na ngleonna,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngleo don ghleo,leis na gleonna,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,gleo,gleonna,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghleo,a ghleonna,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,gleo,gleonna,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,gleo,gleonna,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an gleo,na gleonna,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an ghleo,na ngleonna,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngleo don ghleo,leis na gleonna,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare forms Case Singular Plural  Nominative  gleo  gliadha  Vocative  a ghleo  a ghliadha  Genitive  gliadh  gliadha  Dative  gleo  gliadha,Case,Singular,Plural,Nominative,gleo,gliadha,Vocative,a ghleo,a ghliadha,Genitive,gliadh,gliadha,Dative,gleo,gliadha,Forms with the definite article Case Singular Plural  Nominative  an gleo  na gliadha  Genitive  an ghliadh  na ngliadha  Dative  leis an ngleo don ghleo  leis na gliadha,Case,Singular,Plural,Nominative,an gleo,na gliadha,Genitive,an ghliadh,na ngliadha,Dative,leis an ngleo don ghleo,leis na gliadha
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,gleo,gliadha,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghleo,a ghliadha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,gliadh,gliadha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,gleo,gliadha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an gleo,na gliadha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an ghliadh,na ngliadha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngleo don ghleo,leis na gliadha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,gleo,gliadha,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghleo,a ghliadha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,gliadh,gliadha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,gleo,gliadha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an gleo,na gliadha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an ghliadh,na ngliadha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngleo don ghleo,leis na gliadha,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,,,,,,,,,,
gleo,ghleo,ngleo,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
