0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
"Balkan  Albanian: fryt, frutë  Aromanian: fructu (borrowing), frut  Istro-Romanian: frupt  Romanian: fruct (borrowing), frupt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Italo-Dalmatian  Corsican: fruttu  Italian: frutto, frutta  Neapolitan: frùtto  Sicilian: fruttu, frutta  Venetian: fruto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Italy  Romagnolo: fròtta,,"Rhaeto-Romansch  Friulian: frut, frute  Romansch: fritg, fretg, früt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ibero-Romance  Aragonese: fruito  Asturian: frutu  Old Portuguese: fruito, froyta  Galician: froito, froita, fruita  Old Spanish: frucho  Portuguese: fruto (borrowing), fruta  Spanish: fruto (borrowing), fruta",,"Occitano-Romance  Catalan: fruit, fruita  Occitan: fruch, fruit, frucha, fruita",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallo-Romance  French  Old French: fruit  Dutch: fruit  English: fruit  Middle French: fruict  French: fruit  Haitian Creole: fwi,,"Others  Gallo: frut  Norman:: frit (Jersey, continental Normandy)  Walloon: frut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque: fruitu  Esperanto: frukto  Greek: φρούτο ‎(froúto),,Ido: frukto  Interlingua: fructo  Maltese: frott,,Romani: frukt  Russian: фрукт ‎(frukt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic  Breton: frouezh  Cornish: frut  Welsh: ffrwyth,,West Germanic  Dutch: vrucht  Afrikaans: vrug  German: Frucht  West Frisian: frucht  Yiddish: פֿרוכט ‎(frukht)  English: fruit  Japanese: フルーツ ‎(furūtsu),,North Germanic  Danish: frugt  Faroese: frukt  Norwegian: frukt  Swedish: frukt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balkan  Albanian: fryt, frutë  Aromanian: fructu (borrowing), frut  Istro-Romanian: frupt  Romanian: fruct (borrowing), frupt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Italo-Dalmatian  Corsican: fruttu  Italian: frutto, frutta  Neapolitan: frùtto  Sicilian: fruttu, frutta  Venetian: fruto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Italy  Romagnolo: fròtta,,"Rhaeto-Romansch  Friulian: frut, frute  Romansch: fritg, fretg, früt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
