0,1,2,3,4,5,6,7,8,9
infinitive,V;NFIN,,,,,,,,
,,singular person,,,,,,,
,,1st personmimi,2nd personwewe,3rd person/Class 1yeye/(m),Class 3(m),Class 5(ji),Class 7(ki),Class 9(n),Class 11/14(u)
indicative,general,V;FIN;IND;IND;INDF1;SG,V;FIN;IND;IND;INDF2;SG,V;FIN;IND;IND;INDF3;SG;LGSPEC1,V;FIN;IND;IND;INDF3;SG;LGSPEC2,V;FIN;IND;INDF3;SG;LGSPEC3,V;FIN;IND;INDF3;SG;LGSPEC4,V;FIN;IND;INDF3;SG;LGSPEC5,V;FIN;IND;INDF3;SG;LGSPEC6
progressive,V;FIN;IND;PRES;1;SG,V;FIN;IND;PRES;2;SG,V;FIN;IND;PRES;3;SG;LGSPEC1,V;FIN;IND;PRES;3;SG;LGSPEC2,V;FIN;IND;PRES;3;SG;LGSPEC3,V;FIN;IND;PRES;3;SG;LGSPEC4,V;FIN;IND;PRES;3;SG;LGSPEC5,V;FIN;IND;PRES;3;SG;LGSPEC6,
habitual,V;FIN;IND;HAB;SG,,,,,,,,
past,V;FIN;IND;PST;1;SG,V;FIN;IND;PST;2;SG,V;FIN;IND;PST;3;SG;LGSPEC1,V;FIN;IND;PST;3;SG;LGSPEC2,V;FIN;IND;PST;3;SG;LGSPEC3,V;FIN;IND;PST;3;SG;LGSPEC4,V;FIN;IND;PST;3;SG;LGSPEC5,V;FIN;IND;PST;3;SG;LGSPEC6,
perfect,V;FIN;IND;PST;PRF;1;SG,V;FIN;IND;PST;PRF;2;SG,V;FIN;IND;PST;PRF;3;SG;LGSPEC1,V;FIN;IND;PST;PRF;3;SG;LGSPEC2,V;FIN;IND;PST;PRF;3;SG;LGSPEC3,V;FIN;IND;PST;PRF;3;SG;LGSPEC4,V;FIN;IND;PST;PRF;3;SG;LGSPEC5,V;FIN;IND;PST;PRF;3;SG;LGSPEC6,
future,V;FIN;IND;FUT;1;SG,V;FIN;IND;FUT;2;SG,V;FIN;IND;FUT;3;SG;LGSPEC1,V;FIN;IND;FUT;3;SG;LGSPEC2,V;FIN;IND;FUT;3;SG;LGSPEC3,V;FIN;IND;FUT;3;SG;LGSPEC4,V;FIN;IND;FUT;3;SG;LGSPEC5,V;FIN;IND;FUT;3;SG;LGSPEC6,
consecutive,V;FIN;IND;LGSPEC10;1;SG,V;FIN;IND;LGSPEC10;2;SG,V;FIN;IND;LGSPEC10;3;SG;LGSPEC1,V;FIN;IND;LGSPEC10;3;SG;LGSPEC2,V;FIN;IND;LGSPEC10;3;SG;LGSPEC3,V;FIN;IND;LGSPEC10;3;SG;LGSPEC4,V;FIN;IND;LGSPEC10;3;SG;LGSPEC5,V;FIN;IND;LGSPEC10;3;SG;LGSPEC6,
