0,1,2,3,4,5
,Present »,Imperfect »,Continuous future »,Subjunctive »,Imperative »
1s,V;1;SG;IPFV;PRS,V;1;SG;IPFV;PST,V;1;SG;IPFV;FUT,V;1;SG;IPFV;SBJV,
2s,V;2;SG;IPFV;PRS,V;2;SG;IPFV;PST,V;2;SG;IPFV;FUT,V;2;SG;IPFV;SBJV,V;2;SG;IMP
3s,V;3;SG;IPFV;PRS,V;3;SG;IPFV;PST,V;3;SG;IPFV;FUT,V;3;SG;IPFV;SBJV,
,,,,,
1p,V;1;PL;IPFV;PRS,V;1;PL;IPFV;PST,V;1;PL;IPFV;FUT,V;1;PL;IPFV;SBJV,
2p,V;2;PL;IPFV;PRS,V;2;PL;IPFV;PST,V;2;PL;IPFV;FUT,V;2;PL;IPFV;SBJV,V;2;PL;IMP
3p,V;3;PL;IPFV;PRS,V;3;PL;IPFV;PST,V;3;PL;IPFV;FUT,V;3;PL;IPFV;SBJV,
,,,,,
,Participle:,V;PTCP,,,
,,,,,
,"1. There is a dated alternative 1st person plural present form είμεθα.2. The second, vowel-terminated, imperfect form is used informally.3. The present & imperfect forms are orally identical, the alternative imperfect forms can be used were differentiation is necessary.4. The imperfect forms ήταν and ήτανε have the dated alternatives ήσαν and ήσανε.",,,,
,,,,,
