0,1,2,3,4,5,6
,,,,,,
Strong declension,,,,,,
gender,masculine,neuter,feminine,,,
case,singular,plural,singular,plural,singular,plural
nominative,ADJ;MASC;SG;NOM;LGSPEC2,ADJ;MASC;PL;NOM;LGSPEC2,ADJ;NEUT;SG;NOM;LGSPEC2,ADJ;NEUT;PL;NOM;LGSPEC2,ADJ;FEM;SG;NOM;LGSPEC2,ADJ;FEM;PL;NOM;LGSPEC2
accusative,ADJ;MASC;SG;ACC;LGSPEC2,ADJ;MASC;PL;ACC;LGSPEC2,ADJ;NEUT;SG;ACC;LGSPEC2,ADJ;NEUT;PL;ACC;LGSPEC2,ADJ;FEM;SG;ACC;LGSPEC2,ADJ;FEM;PL;ACC;LGSPEC2
genitive,ADJ;MASC;SG;GEN;LGSPEC2,ADJ;MASC;PL;GEN;LGSPEC2,ADJ;NEUT;SG;GEN;LGSPEC2,ADJ;NEUT;PL;GEN;LGSPEC2,ADJ;FEM;SG;GEN;LGSPEC2,ADJ;FEM;PL;GEN;LGSPEC2
dative,ADJ;MASC;SG;DAT;LGSPEC2,ADJ;MASC;PL;DAT;LGSPEC2,ADJ;NEUT;SG;DAT;LGSPEC2,ADJ;NEUT;PL;DAT;LGSPEC2,ADJ;FEM;SG;DAT;LGSPEC2,ADJ;FEM;PL;DAT;LGSPEC2
,,,,,,
Weak declension,,,,,,
gender,masculine,neuter,feminine,,,
case,singular,plural,singular,plural,singular,plural
nominative,ADJ;MASC;SG;NOM;LGSPEC1,ADJ;MASC;PL;NOM;LGSPEC1,ADJ;NEUT;SG;NOM;LGSPEC1,ADJ;NEUT;PL;NOM;LGSPEC1,ADJ;FEM;SG;NOM;LGSPEC1,ADJ;FEM;PL;NOM;LGSPEC1
accusative,ADJ;MASC;SG;ACC;LGSPEC1,ADJ;MASC;PL;ACC;LGSPEC1,ADJ;NEUT;SG;ACC;LGSPEC1,ADJ;NEUT;PL;ACC;LGSPEC1,ADJ;FEM;SG;ACC;LGSPEC1,ADJ;FEM;PL;ACC;LGSPEC1
genitive,ADJ;MASC;SG;GEN;LGSPEC1,ADJ;MASC;PL;GEN;LGSPEC1,ADJ;NEUT;SG;GEN;LGSPEC1,ADJ;NEUT;PL;GEN;LGSPEC1,ADJ;FEM;SG;GEN;LGSPEC1,ADJ;FEM;PL;GEN;LGSPEC1
dative,ADJ;MASC;SG;DAT;LGSPEC1,ADJ;MASC;PL;DAT;LGSPEC1,ADJ;NEUT;SG;DAT;LGSPEC1,ADJ;NEUT;PL;DAT;LGSPEC1,ADJ;FEM;SG;DAT;LGSPEC1,ADJ;FEM;PL;DAT;LGSPEC1
,,,,,,
gender,masculine,neuter,feminine,,,
case,singular,plural,singular,plural,singular,plural
nominative,ADJ;MASC;SG;NOM;CMPR;LGSPEC1,ADJ;MASC;PL;NOM;CMPR;LGSPEC1,ADJ;NEUT;SG;NOM;CMPR;LGSPEC1,ADJ;NEUT;PL;NOM;CMPR;LGSPEC1,ADJ;FEM;SG;NOM;CMPR;LGSPEC1,ADJ;FEM;PL;NOM;CMPR;LGSPEC1
accusative,ADJ;MASC;SG;ACC;CMPR;LGSPEC1,ADJ;MASC;PL;ACC;CMPR;LGSPEC1,ADJ;NEUT;SG;ACC;CMPR;LGSPEC1,ADJ;NEUT;PL;ACC;CMPR;LGSPEC1,ADJ;FEM;SG;ACC;CMPR;LGSPEC1,ADJ;FEM;PL;ACC;CMPR;LGSPEC1
genitive,ADJ;MASC;SG;GEN;CMPR;LGSPEC1,ADJ;MASC;PL;GEN;CMPR;LGSPEC1,ADJ;NEUT;SG;GEN;CMPR;LGSPEC1,ADJ;NEUT;PL;GEN;CMPR;LGSPEC1,ADJ;FEM;SG;GEN;CMPR;LGSPEC1,ADJ;FEM;PL;GEN;CMPR;LGSPEC1
dative,ADJ;MASC;SG;DAT;CMPR;LGSPEC1,ADJ;MASC;PL;DAT;CMPR;LGSPEC1,ADJ;NEUT;SG;DAT;CMPR;LGSPEC1,ADJ;NEUT;PL;DAT;CMPR;LGSPEC1,ADJ;FEM;SG;DAT;CMPR;LGSPEC1,ADJ;FEM;PL;DAT;CMPR;LGSPEC1
,,,,,,
Strong declension,,,,,,
gender,masculine,neuter,feminine,,,
case,singular,plural,singular,plural,singular,plural
