0,1,2,3
IMPERFECTIVE,singular,duoplural,plural
1st person,V;REAL;IPFV/PROG;1;SG,V;REAL;IPFV/PROG;1;DU/PL,V;REAL;IPFV/PROG;1;PL
2nd person,V;REAL;IPFV/PROG;2;SG,V;REAL;IPFV/PROG;2;DU/PL,V;REAL;IPFV/PROG;2;PL
3rd person,V;REAL;IPFV/PROG;3;SG/DU/PL,V;REAL;IPFV/PROG;3;PL,
4th person,V;REAL;IPFV/PROG;4;SG/DU/PL,V;REAL;IPFV/PROG;4;PL,
PERFECTIVE,singular,duoplural,plural
1st person,V;REAL;PFV/PRF;1;SG,V;REAL;PFV/PRF;1;DU/PL,V;REAL;PFV/PRF;1;PL
2nd person,V;REAL;PFV/PRF;2;SG,V;REAL;PFV/PRF;2;DU/PL,V;REAL;PFV/PRF;2;PL
3rd person,V;REAL;PFV/PRF;3;SG/DU/PL,V;REAL;PFV/PRF;3;PL,
4th person,V;REAL;PFV/PRF;4;SG/DU/PL,V;REAL;PFV/PRF;4;PL,
FUTURE,singular,duoplural,plural
1st person,V;REAL;PROSP;1;SG,V;REAL;PROSP;1;DU/PL,V;REAL;PROSP;1;PL
2nd person,V;REAL;PROSP;2;SG,V;REAL;PROSP;2;DU/PL,V;REAL;PROSP;2;PL
3rd person,V;REAL;PROSP;3;SG/DU/PL,V;REAL;PROSP;3;PL,
4th person,V;REAL;PROSP;4;SG/DU/PL,V;REAL;PROSP;4;PL,
ITERATIVE,singular,duoplural,plural
1st person,V;REAL;ITER;1;SG,V;REAL;ITER;1;DU/PL,V;REAL;ITER;1;PL
2nd person,V;REAL;ITER;2;SG,V;REAL;ITER;2;DU/PL,V;REAL;ITER;2;PL
3rd person,V;REAL;ITER;3;SG/DU/PL,V;REAL;ITER;3;PL,
4th person,V;REAL;ITER;4;SG/DU/PL,V;REAL;ITER;4;PL,
OPTATIVE,singular,duoplural,plural
1st person,V;OPT;1;SG,V;OPT;1;DU/PL,V;OPT;1;PL
2nd person,V;OPT;2;SG,V;OPT;2;DU/PL,V;OPT;2;PL
3rd person,V;OPT;3;SG/DU/PL,V;OPT;3;PL,
4th person,V;OPT;4;SG/DU/PL,V;OPT;4;PL,
