0,1,2,3,4,5
,masculine,neuter,feminine,plural,
nominative,лю́быljúby,лю́баеljúbaje,лю́баяljúbaja,лю́быяljúbyja,
genitive,лю́багаljúbaha,лю́байljúbaj,лю́быхljúbyx,,
dative,лю́бамуljúbamu,лю́байljúbaj,лю́бымljúbym,,
accusative,animate,лю́багаljúbaha,лю́баеljúbaje,лю́буюljúbuju,лю́быхljúbyx
inanimate,лю́быljúby,лю́быяljúbyja,,,
instrumental,лю́бымljúbym,"лю́бай, лю́баюljúbaj, ljúbaju",лю́быміljúbymi,,
locative,лю́бымljúbym,лю́байljúbaj,лю́быхljúbyx,,
,masculine,neuter,feminine,plural,
nominative,любы́ljubý,любо́еljubóje,люба́яljubája,любы́яljubýja,
genitive,любо́гаljubóha,любо́йljubój,любы́хljubýx,,
dative,любо́муljubómu,любо́йljubój,любы́мljubým,,
accusative,animate,любо́гаljubóha,любо́еljubóje,любу́юljubúju,любы́хljubýx
inanimate,любы́ljubý,любы́яljubýja,,,
instrumental,любы́мljubým,"любо́й, любо́юljubój, ljubóju",любы́міljubými,,
locative,любы́мljubým,любо́йljubój,любы́хljubýx,,
,singular,plural,,,
nominative (назоўны),N;NOM;SG,N;NOM;PL,,,
genitive (родны),N;GEN;SG,N;GEN;PL,,,
dative (давальны),N;DAT;SG,N;DAT;PL,,,
accusative (вінавальны),N;ACC;SG,N;ACC;PL,,,
instrumental (творны),N;INS;SG,N;INS;PL,,,
locative (месны),N;ESS;SG,N;ESS;PL,,,
