0,1,2,3,4,5,6,7,8
Audio,,(file),,,,,,
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,V;IPFV;PRS;1;SG,V;IPFV;PRS;2;SG,V;IPFV;PRS;3;SG;MASC/FEM,V;IPFV;PRS;1;PL,V;IPFV;PRS;2;PL,V;IPFV;PRS;3;PL;MASC/FEM,,
,,,,,,,,
present perfective,V;PFV;PRS;1;SG,V;PFV;PRS;2;SG,V;PFV;PRS;3;SG;MASC/FEM,V;PFV;PRS;1;PL,V;PFV;PRS;2;PL,V;PFV;PRS;3;PL;MASC/FEM,,
,,,,,,,,
past imperfective,V;IPFV;PST;1;SG,V;IPFV;PST;2;SG,V;IPFV;PST;3;SG;MASC,V;IPFV;PST;3;SG;FEM,V;IPFV;PST;1;PL,V;IPFV;PST;2;PL,V;IPFV;PST;3;PL;MASC,V;IPFV;PST;3;PL;FEM
,,,,,,,,
past perfective,V;PFV;PST;1;SG,V;PFV;PST;2;SG,V;PFV;PST;3;SG;MASC,V;PFV;PST;3;SG;FEM,V;PFV;PST;1;PL,V;PFV;PST;2;PL,V;PFV;PST;3;PL;MASC,V;PFV;PST;3;PL;FEM
