0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Declension of graafinen suunnittelu (type nuoripari)  singular  plural  nominative  graafinen suunnittelu  graafiset suunnittelut  genitive  graafisen suunnittelun  graafisten suunnittelujengraafisten suunnitteluidengraafisten suunnitteluittengraafisien suunnittelujengraafisien suunnitteluidengraafisien suunnitteluitten  partitive  graafista suunnittelua  graafisia suunnittelujagraafisia suunnitteluita  accusative  graafinen suunnittelugraafisen suunnittelun  graafiset suunnittelut  inessive  graafisessa suunnittelussa  graafisissa suunnitteluissa  elative  graafisesta suunnittelusta  graafisista suunnitteluista  illative  graafiseen suunnitteluun  graafisiin suunnitteluihin  adessive  graafisella suunnittelulla  graafisilla suunnitteluilla  ablative  graafiselta suunnittelulta  graafisilta suunnitteluilta  allative  graafiselle suunnittelulle  graafisille suunnitteluille  essive  graafisena suunnitteluna  graafisina suunnitteluina  translative  graafiseksi suunnitteluksi  graafisiksi suunnitteluiksi  instructive  –  graafisin suunnitteluin  abessive  graafisetta suunnittelutta  graafisitta suunnitteluitta  comitative  –  graafisine suunnitteluineen,,singular,plural,nominative,graafinen suunnittelu,graafiset suunnittelut,genitive,graafisen suunnittelun,graafisten suunnittelujengraafisten suunnitteluidengraafisten suunnitteluittengraafisien suunnittelujengraafisien suunnitteluidengraafisien suunnitteluitten,partitive,graafista suunnittelua,graafisia suunnittelujagraafisia suunnitteluita,accusative,graafinen suunnittelugraafisen suunnittelun,graafiset suunnittelut,inessive,graafisessa suunnittelussa,graafisissa suunnitteluissa,elative,graafisesta suunnittelusta,graafisista suunnitteluista,illative,graafiseen suunnitteluun,graafisiin suunnitteluihin,adessive,graafisella suunnittelulla,graafisilla suunnitteluilla,ablative,graafiselta suunnittelulta,graafisilta suunnitteluilta,allative,graafiselle suunnittelulle,graafisille suunnitteluille,essive,graafisena suunnitteluna,graafisina suunnitteluina,translative,graafiseksi suunnitteluksi,graafisiksi suunnitteluiksi,instructive,–,graafisin suunnitteluin,abessive,graafisetta suunnittelutta,graafisitta suunnitteluitta,comitative,–,graafisine suunnitteluineen
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,graafinen suunnittelu,graafiset suunnittelut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,graafisen suunnittelun,graafisten suunnittelujengraafisten suunnitteluidengraafisten suunnitteluittengraafisien suunnittelujengraafisien suunnitteluidengraafisien suunnitteluitten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,graafista suunnittelua,graafisia suunnittelujagraafisia suunnitteluita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,graafinen suunnittelugraafisen suunnittelun,graafiset suunnittelut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,graafisessa suunnittelussa,graafisissa suunnitteluissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,graafisesta suunnittelusta,graafisista suunnitteluista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,graafiseen suunnitteluun,graafisiin suunnitteluihin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,graafisella suunnittelulla,graafisilla suunnitteluilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,graafiselta suunnittelulta,graafisilta suunnitteluilta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,graafiselle suunnittelulle,graafisille suunnitteluille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
